content_type,deg_type,deg_label,method,edge_recovery,original_edges,method_edges
text,dark,dark_moderate,CLAHE + Canny,0.7718787878787878,4125,3184
text,dark,dark_moderate,HistEq + Canny,1.0,4125,4125
text,dark,dark_moderate,Adaptive Thresh,0.7282424242424242,4125,233853
text,dark,dark_moderate,Ours (ADRR + Canny),0.7718787878787878,4125,3184
text,dark,dark_mild,Canny Only,0.9958787878787879,4125,4108
text,dark,dark_mild,CLAHE + Canny,0.9953939393939394,4125,4106
text,dark,dark_mild,HistEq + Canny,1.0,4125,4125
text,dark,dark_mild,Adaptive Thresh,0.7282424242424242,4125,233852
text,dark,dark_mild,Ours (ADRR + Canny),0.9958787878787879,4125,4108
text,motion_blur,mblur_severe_h,Canny Only,0.2606060606060606,4125,3077
text,motion_blur,mblur_severe_h,CLAHE + Canny,0.2606060606060606,4125,3105
text,motion_blur,mblur_severe_h,HistEq + Canny,0.16242424242424242,4125,2584
text,motion_blur,mblur_severe_h,Adaptive Thresh,0.687030303030303,4125,229902
text,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.2606060606060606,4125,3077
text,motion_blur,mblur_moderate_h,Canny Only,0.2589090909090909,4125,2557
text,motion_blur,mblur_moderate_h,CLAHE + Canny,0.2703030303030303,4125,3507
text,motion_blur,mblur_moderate_h,HistEq + Canny,0.18327272727272728,4125,3376
text,motion_blur,mblur_moderate_h,Adaptive Thresh,0.6792727272727273,4125,229810
text,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.2589090909090909,4125,2557
text,motion_blur,mblur_moderate_d,Canny Only,0.16533333333333333,4125,3809
text,motion_blur,mblur_moderate_d,CLAHE + Canny,0.17018181818181818,4125,3980
text,motion_blur,mblur_moderate_d,HistEq + Canny,0.10375757575757576,4125,4710
text,motion_blur,mblur_moderate_d,Adaptive Thresh,0.47539393939393937,4125,226245
text,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.16533333333333333,4125,3809
text,motion_blur,mblur_mild_v,Canny Only,0.46375757575757576,4125,3974
text,motion_blur,mblur_mild_v,CLAHE + Canny,0.47369696969696967,4125,4540
text,motion_blur,mblur_mild_v,HistEq + Canny,0.3233939393939394,4125,4531
text,motion_blur,mblur_mild_v,Adaptive Thresh,0.5844848484848485,4125,230148
text,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.46375757575757576,4125,3974
text,gaussian_blur,gblur_heavy,Canny Only,0.0019393939393939393,4125,29
text,gaussian_blur,gblur_heavy,CLAHE + Canny,0.1347878787878788,4125,1922
text,gaussian_blur,gblur_heavy,HistEq + Canny,0.0,4125,2507
text,gaussian_blur,gblur_heavy,Adaptive Thresh,0.13624242424242425,4125,229372
text,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.030787878787878788,4125,1270
text,gaussian_blur,gblur_mild,Canny Only,0.35054545454545455,4125,2251
text,gaussian_blur,gblur_mild,CLAHE + Canny,0.3675151515151515,4125,3302
text,gaussian_blur,gblur_mild,HistEq + Canny,0.0,4125,3896
text,gaussian_blur,gblur_mild,Adaptive Thresh,0.144,4125,229826
